ticker,test_month,mode,selected_source,source_path,train_months,select_months,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPXW,202501,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,21,0.38095238095238093,1.025641025641026,0.10000000000000026,0.0047619047619047745,-1.2,0.0,20,0.4,-0.3,-1.2,2.5,24.999999999999936,21,1.0
SPXW,202502,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,202501,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,19,0.5789473684210527,2.291666666666667,3.1000000000000005,0.16315789473684214,-1.2000000000000002,0.5263157894736842,19,0.5789473684210527,0.5,-1.2000000000000002,2.5,0.8064516129032256,19,1.0
SPXW,202503,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,22,0.5454545454545454,2.0000000000000004,3.000000000000001,0.1363636363636364,-0.6,0.22727272727272727,21,0.5714285714285714,0.5,-0.6,2.5,0.833333333333333,22,1.0
SPXW,202504,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,21,0.5714285714285714,2.2222222222222223,3.3,0.15714285714285714,-1.0,0.6190476190476191,21,0.5714285714285714,0.5,-1.0,2.5,0.7575757575757576,21,1.0
SPXW,202505,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503,202504","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,21,0.5714285714285714,2.2222222222222223,3.3000000000000007,0.15714285714285717,-0.8999999999999995,0.47619047619047616,21,0.5714285714285714,0.5,-0.8999999999999995,2.5,0.7575757575757575,21,1.0
SPXW,202506,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503,202504,202505","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,20,0.65,3.095238095238095,4.4,0.22000000000000003,-0.9,0.3,20,0.65,0.5,-0.9,2.5,0.5681818181818181,20,1.0
SPXW,202507,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503,202504,202505,202506","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,42,0.6190476190476191,2.7083333333333335,8.2,0.1952380952380952,-0.9999999999999991,0.16666666666666666,21,0.9047619047619048,0.2,-0.6000000000000001,5.0,0.6097560975609757,42,1.0
SPXW,202508,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503,202504,202505,202506,202507","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,22,0.6818181818181818,3.571428571428571,5.4,0.24545454545454548,-0.5999999999999996,0.36363636363636365,21,0.7142857142857143,0.5,-0.5999999999999996,2.5,0.4629629629629629,22,1.0
SPXW,202509,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503,202504,202505,202506,202507,202508","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,22,0.5,1.666666666666667,2.2,0.1,-2.0000000000000004,0.3181818181818182,20,0.5,0.1,-2.0000000000000004,3.0,1.3636363636363635,22,1.0
SPXW,202510,FROZEN_SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,"202501,202502,202503,202504,202505,202506,202507,202508,202509","202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",22.694952166882704,628,0.4601910828025478,1.4247337855761133,42.86494371494713,0.06825627980087123,-5.400000000000004,0.25477707006369427,454,0.4911894273127753,-0.09999999999999998,-5.400000000000002,7.5,0.1749681522942191,18,0.782608695652174,24,0.75,5.0,7.2,0.3,-0.5999999999999996,0.4583333333333333,23,0.7391304347826086,0.5,-0.5999999999999996,3.0,0.41666666666666663,24,1.0
